mturk,private,lon,ses,round,gameperiod,group,type,subject,payperiod,paygame,k,urn,q1,q2,q3,q4,guess,guess2,orange,rt,rt2,unique
0,0,0,171010_1149,1,11,4,2,12,13,1,.23069778,1,,,,,.88,,1,21,,1012
0,0,0,171010_1149,1,11,4,3,4,17,5,.57267815,1,,,,,1,,1,26,,1004
0,0,0,171010_1149,1,11,5,1,11,17,5,.32637706,1,,,,,1,,0,28,,1011
0,0,0,171010_1149,1,11,5,2,9,15,2,.91650194,1,,,,,.5,,0,17,,1009
0,0,0,171010_1149,1,11,5,3,15,7,1,.81517345,1,,,,,0,,0,19,,1015
0,0,0,171010_1149,1,12,1,1,3,21,1,.050432529,1,,,,,.5,,0,-12,,1003
0,0,0,171010_1149,1,12,1,2,5,7,2,.34699857,1,,,,,1,,0,-16,,1005
0,0,0,171010_1149,1,12,1,3,14,28,2,.88447332,1,,,,,.83999997,,0,18,,1014
0,0,0,171010_1149,1,12,2,1,13,5,5,.11806634,2,,,,,.80000001,,0,12,,1013
0,0,0,171010_1149,1,12,2,2,2,2,5,.34276125,2,,,,,0,,0,22,,1002
0,0,0,171010_1149,1,12,2,3,7,27,3,.34091839,2,,,,,.5,,0,25,,1007
0,0,0,171010_1149,1,12,3,1,16,13,4,.99454165,2,,,,,.50999999,,1,21,,1016
0,0,0,171010_1149,1,12,3,2,10,19,2,.01061463,2,,,,,.80000001,,1,18,,1010
0,0,0,171010_1149,1,12,3,3,8,13,2,.98318744,2,,,,,1,,1,21,,1008
0,0,0,171010_1149,1,12,4,1,6,8,2,.54433078,1,,,,,.2,,1,22,,1006
0,0,0,171010_1149,1,12,4,2,12,13,1,.23069778,1,,,,,.44999999,,1,-1,,1012
0,0,0,171010_1149,1,12,4,3,4,17,5,.57267815,1,,,,,1,,1,26,,1004
0,0,0,171010_1149,1,12,5,1,11,17,5,.32637706,1,,,,,1,,1,25,,1011
0,0,0,171010_1149,1,12,5,2,9,15,2,.91650194,1,,,,,1,,1,18,,1009
0,0,0,171010_1149,1,12,5,3,15,7,1,.81517345,1,,,,,.81,,1,11,,1015
0,0,0,171010_1149,1,13,1,1,3,21,1,.050432529,1,,,,,.5,,0,22,,1003
0,0,0,171010_1149,1,13,1,2,5,7,2,.34699857,1,,,,,.5,,0,25,,1005
0,0,0,171010_1149,1,13,1,3,14,28,2,.88447332,1,,,,,.77999997,,0,17,,1014
0,0,0,171010_1149,1,13,2,1,13,5,5,.11806634,2,,,,,.30000001,,1,22,,1013
0,0,0,171010_1149,1,13,2,2,2,2,5,.34276125,2,,,,,1,,1,15,,1002
0,0,0,171010_1149,1,13,2,3,7,27,3,.34091839,2,,,,,.5,,1,21,,1007
0,0,0,171010_1149,1,13,3,1,16,13,4,.99454165,2,,,,,.5,,0,26,,1016
0,0,0,171010_1149,1,13,3,2,10,19,2,.01061463,2,,,,,.69999999,,0,22,,1010
0,0,0,171010_1149,1,13,3,3,8,13,2,.98318744,2,,,,,.5,,0,23,,1008
0,0,0,171010_1149,1,13,4,1,6,8,2,.54433078,1,,,,,.2,,0,18,,1006
0,0,0,171010_1149,1,13,4,2,12,13,1,.23069778,1,,,,,.55000001,,0,23,,1012
0,0,0,171010_1149,1,13,4,3,4,17,5,.57267815,1,,,,,0,,0,24,,1004
0,0,0,171010_1149,1,13,5,1,11,17,5,.32637706,1,,,,,1,,1,28,,1011
0,0,0,171010_1149,1,13,5,2,9,15,2,.91650194,1,,,,,1,,1,22,,1009
0,0,0,171010_1149,1,13,5,3,15,7,1,.81517345,1,,,,,.81,,1,19,,1015
0,0,0,171010_1149,1,14,1,1,3,21,1,.050432529,1,,,,,.5,,1,21,,1003
0,0,0,171010_1149,1,14,1,2,5,7,2,.34699857,1,,,,,1,,1,23,,1005
0,0,0,171010_1149,1,14,1,3,14,28,2,.88447332,1,,,,,.85000002,,1,26,,1014
0,0,0,171010_1149,1,14,2,1,13,5,5,.11806634,2,,,,,.5,,1,21,,1013
0,0,0,171010_1149,1,14,2,2,2,2,5,.34276125,2,,,,,.5,,1,23,,1002
0,0,0,171010_1149,1,14,2,3,7,27,3,.34091839,2,,,,,.5,,1,25,,1007
0,0,0,171010_1149,1,14,3,1,16,13,4,.99454165,2,,,,,.47,,0,28,,1016
0,0,0,171010_1149,1,14,3,2,10,19,2,.01061463,2,,,,,.5,,0,16,,1010
0,0,0,171010_1149,1,14,3,3,8,13,2,.98318744,2,,,,,.5,,0,23,,1008
0,0,0,171010_1149,1,14,4,1,6,8,2,.54433078,1,,,,,.1,,1,21,,1006
0,0,0,171010_1149,1,14,4,2,12,13,1,.23069778,1,,,,,.57999998,,1,20,,1012
0,0,0,171010_1149,1,14,4,3,4,17,5,.57267815,1,,,,,1,,1,27,,1004
0,0,0,171010_1149,1,14,5,1,11,17,5,.32637706,1,,,,,1,,1,27,,1011
0,0,0,171010_1149,1,14,5,2,9,15,2,.91650194,1,,,,,1,,1,27,,1009
0,0,0,171010_1149,1,14,5,3,15,7,1,.81517345,1,,,,,.0099999998,,1,23,,1015
0,0,0,171010_1149,1,15,1,1,3,21,1,.050432529,1,,,,,.5,,0,21,,1003
0,0,0,171010_1149,1,15,1,2,5,7,2,.34699857,1,,,,,.5,,0,19,,1005
0,0,0,171010_1149,1,15,1,3,14,28,2,.88447332,1,,,,,.75,,0,25,,1014
0,0,0,171010_1149,1,15,2,1,13,5,5,.11806634,2,,,,,.40000001,,0,23,,1013
0,0,0,171010_1149,1,15,2,2,2,2,5,.34276125,2,,,,,0,,0,26,,1002
0,0,0,171010_1149,1,15,2,3,7,27,3,.34091839,2,,,,,.5,,0,25,,1007
0,0,0,171010_1149,1,15,3,1,16,13,4,.99454165,2,,,,,.51999998,,1,26,,1016
0,0,0,171010_1149,1,15,3,2,10,19,2,.01061463,2,,,,,.69999999,,1,21,,1010
0,0,0,171010_1149,1,15,3,3,8,13,2,.98318744,2,,,,,.69999999,,1,20,,1008
0,0,0,171010_1149,1,15,4,1,6,8,2,.54433078,1,,,,,0,,0,17,,1006
0,0,0,171010_1149,1,15,4,2,12,13,1,.23069778,1,,,,,0,,0,23,,1012
0,0,0,171010_1149,1,15,4,3,4,17,5,.57267815,1,,,,,0,,0,28,,1004
0,0,0,171010_1149,1,15,5,1,11,17,5,.32637706,1,,,,,1,,1,27,,1011
0,0,0,171010_1149,1,15,5,2,9,15,2,.91650194,1,,,,,.5,,1,26,,1009
0,0,0,171010_1149,1,15,5,3,15,7,1,.81517345,1,,,,,.81,,1,23,,1015
0,0,0,171010_1149,1,16,1,1,3,21,1,.050432529,1,,,,,.5,,1,19,,1003
0,0,0,171010_1149,1,16,1,2,5,7,2,.34699857,1,,,,,1,,1,28,,1005
0,0,0,171010_1149,1,16,1,3,14,28,2,.88447332,1,,,,,.93000001,,1,27,,1014
0,0,0,171010_1149,1,16,2,1,13,5,5,.11806634,2,,,,,.60000002,,0,16,,1013
0,0,0,171010_1149,1,16,2,2,2,2,5,.34276125,2,,,,,0,,0,14,,1002
0,0,0,171010_1149,1,16,2,3,7,27,3,.34091839,2,,,,,.5,,0,21,,1007
0,0,0,171010_1149,1,16,3,1,16,13,4,.99454165,2,,,,,.5,,1,24,,1016
0,0,0,171010_1149,1,16,3,2,10,19,2,.01061463,2,,,,,.80000001,,1,22,,1010
